v1_chunk_id,v2_chunk_ids,mapping_status,policy_source,policy_action,document_id,page_number_1_based
6f49bae20716d64337db9aab3684cf85090c880d9e71f2e6d125e007c0350b12,6f49bae20716d64337db9aab3684cf85090c880d9e71f2e6d125e007c0350b12,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,6
25b59828dc7df6a109bd134d0d3d6e8aafcb2d3bc5429fc435997f89b3e0f771,25b59828dc7df6a109bd134d0d3d6e8aafcb2d3bc5429fc435997f89b3e0f771,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,6
d89a981a5eefb281476096cba67583b842eca34b23e3cf9172552ce0272d05b3,d89a981a5eefb281476096cba67583b842eca34b23e3cf9172552ce0272d05b3,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,6
b0a2bf395372c2e01e7e0ba22107fe83d37b6c0a7450ae79ef64ca6eb6bb9537,b0a2bf395372c2e01e7e0ba22107fe83d37b6c0a7450ae79ef64ca6eb6bb9537,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,7
d0d0f9c17597c61c92faec52c6ae85f60c54fafae427fe96ff84937180ae2cc6,d0d0f9c17597c61c92faec52c6ae85f60c54fafae427fe96ff84937180ae2cc6,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,8
0d72628bd6ceb0d4fd1efb9e9361baa91514eba77df54ded3c67c55f41a71340,0d72628bd6ceb0d4fd1efb9e9361baa91514eba77df54ded3c67c55f41a71340,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,8
7091a0f79b8deedf8f7db0dd75a802cebb59115ed1e9b40cae5308d2425db94b,7091a0f79b8deedf8f7db0dd75a802cebb59115ed1e9b40cae5308d2425db94b,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,8
35e3c2f8a45ba26973f931dc8ec42b055fcc600cf8e9291632d19e3bb9b13c9a,35e3c2f8a45ba26973f931dc8ec42b055fcc600cf8e9291632d19e3bb9b13c9a,UNCHANGED_RETAINED,AUTOMATED_FULL_CORPUS_AUDIT,AUTO_QUALITY_PASS,1-EPCCQXoigDEi3OslrycbcTLuhM9E7r5,9
9b99a267b687958535890a3d785542b1491b2395839c28338550d6980cbbd234,eb13758f582ed91857fe7eec5bc05825c83a29ce2cea1e330dc50ce781b385e5;269281336e935055ec59d7f2083e4703035f1a558505d4d301b978084d906817,REPLACED,TARGETED_PAGE_REPAIR,REPLACED_BY_REPAIRED_PAGE,1-mlwDmE3-y5lr7V6_wqfinIM-Zx1Rifr,1
8e18b0f0bf8867fc8cadefb5d99f36c7bc88eb150333d076d33c072c0d1335bd,eb13758f582ed91857fe7eec5bc05825c83a29ce2cea1e330dc50ce781b385e5;269281336e935055ec59d7f2083e4703035f1a558505d4d301b978084d906817,REPLACED,TARGETED_PAGE_REPAIR,REPLACED_BY_REPAIRED_PAGE,1-mlwDmE3-y5lr7V6_wqfinIM-Zx1Rifr,1
